scenario_id,scenario_name,repetition,condition,injected_at,detected_at,resolved_at,mttd_seconds,mttr_seconds,true_positive,false_positive,notes
S09,zombie_20,3,our_system,2026-05-13T11:35:07.364332,2026-05-13T11:35:54.441554,2026-05-13T11:35:55.315698,46.053096294403076,46.92724609375,True,False,
S09,zombie_20,4,our_system,2026-05-13T11:36:00.325805,2026-05-13T11:36:59.447799,2026-05-13T11:37:00.094980,58.07609581947327,58.7232825756073,True,False,
S09,zombie_20,5,our_system,2026-05-13T11:37:05.104113,2026-05-13T11:37:40.239676,2026-05-13T11:37:40.902554,34.06540894508362,34.72828698158264,True,False,
S10,log_flood_low,1,our_system,2026-05-13T11:37:45.909793,2026-05-13T11:38:05.979950,2026-05-13T11:38:06.676917,20.03061604499817,20.727582693099976,True,False,
S10,log_flood_low,2,our_system,2026-05-13T11:38:11.678584,2026-05-13T11:38:33.761489,2026-05-13T11:38:34.480338,22.053794384002686,22.77265477180481,True,False,
S10,log_flood_low,3,our_system,2026-05-13T11:38:39.528801,2026-05-13T11:39:07.620665,2026-05-13T11:39:08.350355,28.052093267440796,28.78179693222046,True,False,
S10,log_flood_low,4,our_system,2026-05-13T11:39:13.402606,2026-05-13T11:40:11.555715,2026-05-13T11:40:12.187493,58.118224143981934,58.750006675720215,True,False,
S10,log_flood_low,5,our_system,2026-05-13T11:40:17.201641,2026-05-13T11:41:35.411197,2026-05-13T11:41:36.075476,78.16714000701904,78.83142805099487,True,False,
S11,log_flood_high,1,our_system,2026-05-13T11:41:41.078775,,,,,False,False,
S11,log_flood_high,2,our_system,2026-05-13T11:43:46.399552,2026-05-13T11:45:16.634402,2026-05-13T11:45:22.887491,90.20327377319336,96.4563660621643,True,False,
S11,log_flood_high,3,our_system,2026-05-13T11:45:27.888041,2026-05-13T11:46:34.091822,2026-05-13T11:46:34.656923,66.16876363754272,66.73387169837952,True,False,
S11,log_flood_high,4,our_system,2026-05-13T11:46:39.657491,2026-05-13T11:47:19.761512,2026-05-13T11:47:20.256666,40.072847843170166,40.568002700805664,True,False,
S11,log_flood_high,5,our_system,2026-05-13T11:47:25.296592,2026-05-13T11:48:57.516334,2026-05-13T11:48:58.122156,92.16812515258789,92.77395009994507,True,False,
S12,nfs_hang,1,our_system,2026-05-13T11:49:03.122616,2026-05-13T11:50:23.303166,2026-05-13T11:50:23.997767,80.13933300971985,80.83393478393555,True,False,
S12,nfs_hang,2,our_system,2026-05-13T11:50:28.998247,2026-05-13T11:51:49.188821,2026-05-13T11:51:49.911434,80.1609845161438,80.88359928131104,True,False,
S12,nfs_hang,3,our_system,2026-05-13T11:51:54.911966,2026-05-13T11:53:19.059537,2026-05-13T11:53:19.813464,84.12385106086731,84.87779116630554,True,False,
S12,nfs_hang,4,our_system,2026-05-13T11:53:24.815099,2026-05-13T11:54:38.995470,2026-05-13T11:54:39.718263,74.14259815216064,74.86539363861084,True,False,
S12,nfs_hang,5,our_system,2026-05-13T11:54:44.718694,2026-05-13T11:55:36.822048,2026-05-13T11:55:37.478248,52.06923198699951,52.72543263435364,True,False,
S13,db_vacuum_starve,1,our_system,2026-05-13T11:55:44.740970,,,,,False,False,
S13,db_vacuum_starve,2,our_system,2026-05-13T11:57:49.906446,2026-05-13T11:58:29.973740,2026-05-13T11:58:30.723863,40.04873299598694,40.798858404159546,True,False,
S13,db_vacuum_starve,3,our_system,2026-05-13T11:58:35.724524,2026-05-13T11:59:39.819140,2026-05-13T11:59:40.474459,64.07531261444092,64.73063111305237,True,False,
S13,db_vacuum_starve,4,our_system,2026-05-13T11:59:45.475103,2026-05-13T12:00:09.516317,2026-05-13T12:00:10.555914,24.025863885879517,25.06546449661255,True,False,
S13,db_vacuum_starve,5,our_system,2026-05-13T12:00:15.556779,2026-05-13T12:00:49.605371,2026-05-13T12:00:50.254536,34.033122062683105,34.68229126930237,True,False,
